,word,tf,rootWordFrequency,positionScore,rootWordWeight,pos,keyword
0,Morning,3,12,1.1907993966817496,4.7631975867269984,1,1
1,minimum,1,1,0.42156862745098034,0.42156862745098034,4,1
2,Discounts,1,17,0.4819004524886878,4.800150829562594,1,1
3,Vouchers,1,3,0.13348416289592757,1.1063348416289593,1,1
4,consignment,1,1,0.39743589743589747,0.39743589743589747,4,1
5,Toys,1,3,0.47285067873303166,1.1153846153846154,1,1
6,Jollen,1,1,0.15610859728506787,0.15610859728506787,1,1
7,creating,2,6,0.40120663650075417,1.2036199095022626,2,1
8,discount,3,17,0.8423831070889894,4.800150829562594,1,1
9,fashions,1,2,0.3717948717948718,0.7435897435897436,1,1
10,GMA,13,13,3.17420814479638,3.17420814479638,1,1
11,viewers,8,66,1.8325791855203617,15.597285067873305,1,1
12,marketplace,1,2,0.38386123680241324,0.7677224736048265,1,1
13,April,4,16,1.392156862745098,5.568627450980392,1,1
14,applied,1,23,0.39140271493212675,4.822775263951735,2,1
15,totals,1,3,0.4155354449472096,1.2104072398190047,1,1
16,supplies,1,2,0.10331825037707393,0.20663650075414786,1,1
17,Clothing,1,7,0.47888386123680243,1.643288084464555,1,1
18,CEO,1,1,0.4773755656108597,0.4773755656108597,1,1
19,GMA15,1,1,0.1168929110105581,0.1168929110105581,1,1
20,Hire,1,2,0.4834087481146304,0.9668174962292608,1,1
21,Women,1,2,0.48039215686274506,0.9607843137254901,1,1
22,Blurb,2,4,0.5414781297134239,1.0829562594268478,1,1
23,priced,5,33,0.5859728506787332,4.981146304675717,2,1
24,shipping,1,2,0.222473604826546,0.444947209653092,2,1
25,enter,1,2,0.33257918552036203,0.6651583710407241,2,1
26,deals,6,56,1.396681749622926,13.654600301659128,1,1
27,April,4,16,1.392156862745098,5.568627450980392,1,0
28,Prices,1,33,0.3506787330316742,4.981146304675717,1,0
29,Lepore,2,2,0.751131221719457,0.751131221719457,1,0
30,sensitive,1,1,0.3416289592760181,0.3416289592760181,1,0
31,Games,1,3,0.1606334841628959,0.5241327300150829,1,0
32,Zulily,2,2,0.05580693815987925,0.05580693815987925,1,0
33,Sales,1,20,0.44871794871794873,3.984917043740573,1,0
34,deals,6,56,1.396681749622926,13.654600301659128,1,0
35,percent,8,68,1.506787330316742,12.778280542986426,1,0
36,get,3,10,0.5678733031674208,1.8612368024132728,2,0
37,offering,2,11,0.5776772247360482,3.7880844645550527,2,0
38,priced,5,33,0.5859728506787332,4.981146304675717,2,0
39,code,5,28,0.8484162895927602,5.666666666666666,1,0
40,Refinestyle,3,3,1.103318250377074,1.103318250377074,1,0
41,viewers,8,66,1.8325791855203617,15.597285067873305,1,0
42,using,3,23,0.37481146304675717,4.822775263951735,2,0
43,take,1,3,0.09276018099547512,0.6040723981900452,2,0
44,Pillow,4,17,0.7390648567119155,3.127450980392157,1,0
45,GMA,13,13,3.17420814479638,3.17420814479638,1,0
46,deal,4,56,0.8416289592760181,13.654600301659128,1,0
47,Morning,3,12,1.1907993966817496,4.7631975867269984,1,0
49,Nanette,2,2,0.7541478129713424,0.7541478129713424,1,0
50,site,2,6,0.3378582202111614,1.0135746606334841,1,0
52,wedding,1,2,0.32202111613876316,0.6440422322775263,1,0
53,product,2,6,0.8099547511312217,2.4298642533936654,1,0
56,Sale,1,20,0.23001508295625944,3.984917043740573,1,0
57,see,1,2,0.21794871794871795,0.4358974358974359,2,0
58,Also,1,2,0.31447963800904977,0.6048265460030166,3,0
59,extra,2,6,0.3137254901960784,0.9411764705882353,4,0
60,Clothes,1,7,0.015837104072398245,1.643288084464555,1,0
62,discounted,2,17,0.43891402714932126,4.800150829562594,2,0
63,order,2,7,0.6108597285067874,1.9374057315233788,1,0
64,time,3,12,0.8438914027149321,3.3755656108597285,1,0
66,today,2,10,0.2911010558069382,1.9170437405731524,1,0
67,button,1,2,0.2526395173453997,0.5052790346907994,1,0
69,free,2,7,0.28959276018099556,1.0309200603318254,2,0
70,shoes,2,11,0.5822021116138764,3.518099547511312,1,0
71,dress,2,7,0.37254901960784315,1.643288084464555,1,0
72,board,1,2,0.20135746606334837,0.40271493212669673,1,0
74,babies,1,2,0.05957767722473606,0.11915535444947212,1,0
